Policy Name,PolicyID,Arn
AmazonRedshift-CommandsAccessPolicy-20230923T134736,ANPAZODTOVGIS6Q72CLXC,arn:aws:iam::648782195089:policy/service-role/AmazonRedshift-CommandsAccessPolicy-20230923T134736
cloudwatch_policy,ANPAZODTOVGIRWV54N4U3,arn:aws:iam::648782195089:policy/cloudwatch_policy
AdministratorAccess,ANPAIWMBCKSKIEE64ZLYK,arn:aws:iam::aws:policy/AdministratorAccess
PowerUserAccess,ANPAJYRXTHIB4FOVS3ZXS,arn:aws:iam::aws:policy/PowerUserAccess
ReadOnlyAccess,ANPAILL3HVNFSB6DCOWYQ,arn:aws:iam::aws:policy/ReadOnlyAccess
AWSCloudFormationReadOnlyAccess,ANPAJWVBEE4I2POWLODLW,arn:aws:iam::aws:policy/AWSCloudFormationReadOnlyAccess
CloudFrontFullAccess,ANPAIPRV52SH6HDCCFY6U,arn:aws:iam::aws:policy/CloudFrontFullAccess
AWSCloudHSMFullAccess,ANPAIMBQYQZM7F63DA2UU,arn:aws:iam::aws:policy/AWSCloudHSMFullAccess
AWSCloudHSMReadOnlyAccess,ANPAISVCBSY7YDBOT67KE,arn:aws:iam::aws:policy/AWSCloudHSMReadOnlyAccess
ResourceGroupsandTagEditorFullAccess,ANPAJNOS54ZFXN4T2Y34A,arn:aws:iam::aws:policy/ResourceGroupsandTagEditorFullAccess
ResourceGroupsandTagEditorReadOnlyAccess,ANPAJHXQTPI5I5JKAIU74,arn:aws:iam::aws:policy/ResourceGroupsandTagEditorReadOnlyAccess
CloudFrontReadOnlyAccess,ANPAJJZMNYOTZCNQP36LG,arn:aws:iam::aws:policy/CloudFrontReadOnlyAccess
CloudSearchFullAccess,ANPAIM6OOWKQ7L7VBOZOC,arn:aws:iam::aws:policy/CloudSearchFullAccess
CloudSearchReadOnlyAccess,ANPAJWPLX7N7BCC3RZLHW,arn:aws:iam::aws:policy/CloudSearchReadOnlyAccess
CloudWatchFullAccess,ANPAIKEABORKUXN6DEAZU,arn:aws:iam::aws:policy/CloudWatchFullAccess
CloudWatchReadOnlyAccess,ANPAJN23PDQP7SZQAE3QE,arn:aws:iam::aws:policy/CloudWatchReadOnlyAccess
CloudWatchLogsFullAccess,ANPAJ3ZGNWK2R5HW5BQFO,arn:aws:iam::aws:policy/CloudWatchLogsFullAccess
CloudWatchLogsReadOnlyAccess,ANPAJ2YIYDYSNNEHK3VKW,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess
AWSDirectConnectFullAccess,ANPAJQF2QKZSK74KTIHOW,arn:aws:iam::aws:policy/AWSDirectConnectFullAccess
AWSDirectConnectReadOnlyAccess,ANPAI23HZ27SI6FQMGNQ2,arn:aws:iam::aws:policy/AWSDirectConnectReadOnlyAccess
AmazonAppStreamFullAccess,ANPAJLZZXU2YQVGL4QDNC,arn:aws:iam::aws:policy/AmazonAppStreamFullAccess
AmazonAppStreamReadOnlyAccess,ANPAJXIFDGB4VBX23DX7K,arn:aws:iam::aws:policy/AmazonAppStreamReadOnlyAccess
AmazonDynamoDBFullAccess,ANPAINUGF2JSOSUY76KYA,arn:aws:iam::aws:policy/AmazonDynamoDBFullAccess
AmazonDynamoDBReadOnlyAccess,ANPAIY2XFNA232XJ6J7X2,arn:aws:iam::aws:policy/AmazonDynamoDBReadOnlyAccess
AmazonDynamoDBFullAccesswithDataPipeline,ANPAJ3ORT7KDISSXGHJXA,arn:aws:iam::aws:policy/AmazonDynamoDBFullAccesswithDataPipeline
AmazonEC2FullAccess,ANPAI3VAJF5ZCRZ7MCQE6,arn:aws:iam::aws:policy/AmazonEC2FullAccess
